reel1	weight1	reel2	weight2	reel3	weight3
Cherry	28	Cherry	49	Cherry	37
Blank	32	Blank	28	Blank	33
Bar2	55	Bar2	39	Bar2	38
Blank	29	Blank	28	Blank	28
Bar1	34	Bar1	51	Bar1	44
Blank	29	Blank	28	Blank	28
Seven2	73	Blank	28	Seven2	26
Blank	29	Blank	28	Blank	28
Diamond2	1	Diamond2	1	Diamond2	2
Cherry	19	Blank	28	Blank	28
Bar3	40	Bar3	25	Bar3	22
Blank	20	Blank	19	Blank	19
Seven1	14	Seven1	17	Seven1	25
Blank	29	Blank	28	Blank	28
Bar1	35	Bar1	52	Bar1	43
Blank	20	Blank	19	Blank	19
Bar2	36	Bar2	25	Bar2	26
Blank	29	Blank	28	Blank	28
Blank	29	Cherry	33	Cherry	25
Blank	29	Blank	28	Blank	28
Bar3	27	Bar3	16	Bar3	23
Blank	20	Blank	19	Blank	19
Bar2	55	Bar2	38	Bar2	39
Blank	29	Blank	28	Blank	28
Seven1	17	Seven1	21	Seven1	25
Blank	39	Blank	38	Blank	38
Diamond1	99	Diamond1	1	Diamond1	40
Blank	39	Blank	38	Blank	38
Bar1	35	Bar1	52	Bar1	43
Blank	29	Seven2	3	Blank	28
Bar2	36	Bar2	25	Bar2	39
Blank	20	Blank	19	Blank	19
Bar3	40	Bar3	25	Bar3	23
Blank	20	Blank	19	Blank	19
Bar1	23	Bar1	34	Bar1	33
Blank	20	Blank	19	Blank	19
