reel1	weight1	reel2	weight2	reel3	weight3
Bar3	28	Blank	32	Blank	27
Bar1	33	Diamond1	25	Blank	18
Bar1	50	Blank	38	Blank	27
Cherry	59	Blank	19	Blank	27
Bar3	19	Cherry	19	Blank	21
Bar1	51	Blank	28	Blank	18
Bar3	29	Bar1	19	Blank	27
Blank	27	Bar1	28	Seven1	3
Blank	18	Bar2	45	Blank	27
Diamond1	67	Blank	28	Blank	36
Blank	36	Blank	28	Blank	27
Blank	27	Bar2	30	Blank	18
Bar2	17	Blank	28	Blank	36
Seven2	1	Diamond2	142	Diamond1	44
Blank	18	Blank	19	Blank	27
Blank	27	Bar2	44	Seven1	3
Bar2	12	Cherry	28	Blank	27
Blank	18	Bar3	49	Bar1	38
Seven1	62	Blank	38	Bar2	25
Blank	27	Blank	28	Blank	18
Blank	18	Blank	19	Bar3	45
Blank	18	Seven1	27	Seven2	1
Blank	27	Blank	19	Blank	27
Blank	23	Bar1	28	Bar2	36
Blank	27	Bar3	50	Blank	18
Bar2	17	Blank	28	Bar1	38
Blank	27	Blank	19	Bar2	37
Blank	27	Seven1	33	Bar3	44
Bar1	50	Blank	28	Diamond2	7
Diamond2	73	Seven2	55	Bar3	45
Cherry	39	Blank	19	Cherry	27
Bar2	12	Blank	28	Bar2	37
Blank	27	Blank	28	Cherry	41
Blank	36	Bar2	30	Bar1	28
Seven1	77	Bar3	33	Bar1	38
Blank	18	Bar1	28	Blank	18
