reel1	weight1	reel2	weight2	reel3	weight3
Blank	20	Blank	39	Blank	20
Diamond1	77	Seven1	12	Diamond1	1
Blank	31	Blank	19	Blank	30
Bar2	26	Diamond2	1	Bar2	24
Blank	31	Blank	34	Blank	33
Cherry	11	Bar2	32	Cherry	25
Blank	20	Bar2	32	Blank	40
Blank	20	Blank	29	Blank	20
Blank	31	Blank	29	Blank	20
Blank	31	Bar1	38	Blank	30
Bar2	40	Bar1	38	Bar3	34
Blank	41	Blank	39	Bar2	36
Seven1	39	Blank	29	Blank	20
Blank	41	Blank	29	Cherry	17
Bar1	22	Cherry	11	Blank	20
Blank	31	Blank	19	Bar2	37
Bar3	7	Blank	19	Seven1	1
Bar1	33	Bar1	38	Blank	40
Bar2	26	Blank	29	Bar1	38
Blank	31	Blank	19	Bar3	35
Diamond2	117	Blank	29	Blank	30
Bar1	34	Bar3	18	Bar2	36
Bar2	40	Blank	29	Blank	30
Blank	31	Seven2	1	Blank	20
Blank	31	Bar2	47	Bar3	35
Blank	20	Blank	19	Bar1	38
Bar3	10	Bar2	47	Blank	30
Blank	31	Bar3	26	Blank	30
Seven2	81	Blank	19	Diamond2	1
Cherry	16	Cherry	8	Blank	30
Blank	20	Bar1	25	Bar1	37
Blank	31	Seven1	15	Seven1	1
Seven1	49	Blank	29	Blank	30
Blank	20	Bar3	27	Bar1	28
Bar3	11	Blank	29	Blank	30
Bar1	34	Diamond1	1	Seven2	13
