reel1	weight1	reel2	weight2	reel3	weight3
Blank	1	Blank	33	Blank	1
Bar3	12	Bar1	10	Bar1	12
Blank	14	Blank	33	Blank	19
Diamond2	7	Diamond2	4	Diamond2	3
Blank	14	Blank	33	Blank	19
Seven1	17	Bar2	30	Bar1	12
Blank	14	Blank	1	Blank	19
Cherry	13	Cherry	4	Seven2	3
Blank	1	Blank	1	Blank	19
Bar3	12	Bar1	10	Bar2	30
Blank	14	Blank	32	Blank	1
Diamond1	10	Seven1	19	Bar3	12
Blank	13	Blank	32	Blank	1
Cherry	13	Bar3	26	Cherry	5
Blank	1	Blank	1	Blank	19
Bar2	30	Cherry	4	Seven1	12
Blank	13	Blank	1	Blank	19
Seven2	2	Bar1	10	Bar1	12
Blank	13	Blank	32	Blank	19
Bar3	12	Diamond1	11	Diamond1	10
Blank	1	Blank	32	Blank	18
Bar1	29	Seven2	4	Cherry	5
