reel1	weight1	reel2	weight2	reel3	weight3
Blank	20	Blank	39	Blank	30
Bar2	40	Bar1	25	Bar1	28
Blank	20	Blank	34	Blank	30
Bar2	26	Bar2	47	Bar3	35
Blank	41	Blank	19	Blank	30
Cherry	11	Cherry	11	Cherry	17
Blank	20	Blank	29	Blank	30
Bar1	34	Bar3	26	Seven1	1
Blank	31	Blank	29	Blank	40
Bar2	26	Bar1	38	Diamond2	1
Blank	31	Blank	29	Blank	30
Diamond1	77	Seven1	12	Bar1	38
Blank	31	Blank	19	Blank	20
Bar3	11	Diamond2	1	Bar1	37
Blank	20	Blank	19	Blank	20
Seven1	39	Bar3	18	Seven2	13
Blank	31	Blank	29	Blank	20
Bar3	10	Cherry	8	Bar2	36
Blank	31	Blank	29	Blank	20
Diamond2	117	Diamond1	1	Bar2	24
Blank	20	Blank	29	Blank	30
Bar3	7	Bar1	38	Bar1	38
Blank	20	Blank	19	Blank	30
Seven1	49	Bar2	47	Bar2	36
Blank	31	Blank	29	Blank	30
Seven2	81	Bar1	38	Bar3	35
Blank	31	Blank	19	Blank	40
Bar1	22	Bar3	27	Seven1	1
Blank	31	Blank	39	Blank	33
Bar2	40	Seven1	15	Cherry	25
Blank	31	Blank	29	Blank	20
Cherry	16	Bar2	32	Bar3	34
Blank	31	Blank	29	Blank	20
Bar1	33	Bar2	32	Bar2	37
Blank	41	Blank	19	Blank	30
Bar1	34	Seven2	1	Diamond1	1
