# M15 weight reference (2026-04-24 v7 shipped)
# Source of truth: slot_designer/weights/M15/mode_<N>/weights.json
# This CSV is a hand-maintained snapshot for designer copy-paste. Re-export after weight edits.

# ==================================================
# Section A: machine-level summary (analytic, v7)
# ==================================================

Metric,mode_1,mode_2,mode_5,mode_7
Total RTP (%),95.21,300.84,502.05,84.77
Base RTP (pp),42.95,135.07,135.07,32.60
Feature RTP (pp),52.26,165.78,366.98,52.17
Base hit rate (%),13.17,22.56,22.56,12.46
Per-hit avg win (x),3.26,5.99,5.99,2.62
Feature trigger (%),1.14,2.75,2.76,1.14
Feature EV (x),46.00,60.00,132.81,46.00
Accept rate per round (%),23.5,35.4,67.7,23.5
P(session R>=1000) per paid spin (1 in X),4770249,333144,7607861,4777754

# ==================================================
# Section B: reel strips (shared) + per-mode weights
# ==================================================
# Strips are BYTE-IDENTICAL across all modes (project_slot_designer_strips_identical_across_modes.md).
# Only weights differ per mode.

Reel,Position,Symbol,mode_1 weight,mode_2 weight,mode_5 weight,mode_7 weight
1,0,blank,36,30,30,45
1,1,cherry,8,5,5,12
1,2,blank,27,26,26,28
1,3,3bar,49,41,41,44
1,4,blank,27,26,26,28
1,5,2bar,32,31,31,19
1,6,blank,27,26,26,28
1,7,1bar,74,82,82,73
1,8,blank,27,26,26,28
1,9,high7,6,9,9,12
1,10,blank,27,26,26,28
1,11,doublediamond,42,101,101,21
1,12,blank,27,26,26,28
1,13,3bar,47,39,39,44
1,14,blank,27,26,26,28
1,15,2bar,35,33,33,22
1,16,blank,27,26,26,28
1,17,1bar,74,83,83,73
1,18,blank,27,26,26,28
1,19,3bar,47,39,39,44
1,20,blank,27,26,26,28
1,21,2bar,35,33,33,22
1,22,blank,27,26,26,28
1,23,1bar,74,83,83,73
1,24,blank,27,26,26,28
1,25,cherry,8,6,6,12
1,26,blank,27,26,26,28
1,27,3bar,47,39,39,44
1,28,blank,27,26,26,28
1,29,2bar,35,33,33,22
1,30,blank,27,26,26,28
1,31,jackpot,2,28,28,11
1,32,blank,27,26,26,28
1,33,high7,7,11,11,13
1,34,blank,27,26,26,28
1,35,doublediamond,43,104,104,21

2,0,blank,35,32,32,39
2,1,2bar,46,56,56,44
2,2,blank,26,21,21,24
2,3,cherry,5,21,21,9
2,4,blank,26,21,21,24
2,5,3bar,5,23,23,1
2,6,blank,26,21,21,24
2,7,1bar,91,105,105,88
2,8,blank,26,21,21,24
2,9,doublediamond,19,11,11,6
2,10,blank,26,21,21,24
2,11,high7,29,10,10,28
2,12,blank,26,21,21,24
2,13,2bar,46,54,54,42
2,14,blank,26,21,21,24
2,15,3bar,4,17,17,1
2,16,blank,26,21,21,24
