# M37 weight reference (2026-04-24 v1 shipped)
# Source of truth: slot_designer/weights/M37/mode_<N>/weights.json
# This CSV is a hand-maintained snapshot for designer copy-paste. Re-export after weight edits.

# ==================================================
# Section A: machine-level summary (analytic, v1)
# ==================================================

Metric,mode_1,mode_2,mode_5,mode_7
Total RTP (%),94.95,299.77,499.99,84.99
Base RTP (pp),94.95,299.77,499.99,84.99   
Feature RTP (pp),0.00,0.00,0.00,0.00    (M37 has no feature engine)
Base hit rate (%),15.17,22.99,22.65,10.36
Per-hit avg win (x),6.26,13.04,22.07,8.20
CV,6.68,5.39,4.58,7.52
Low (1-10x) hit rate (%),11.1606,15.7477,12.2606,6.2119
Mid (10-50x) hit rate (%),3.7250,5.3250,6.7760,3.8692
High (50-500x) hit rate (%),0.2819,1.9119,3.6015,0.2813
Top (500-1000x) hit rate (%),0.0011,0.0065,0.0138,0.0016
Top 1000x jackpot (1 in X spins),277760,46001,25168,267339

# ==================================================
# Section B: reel strips (shared) + per-mode weights
# ==================================================
# Strips are BYTE-IDENTICAL across all modes (project_slot_designer.md (§E strip layout)).
# Only weights differ per mode. Blank/non-blank strict alternation enforced by engine.
#
# M37 reel-placement rules:
#   - wild ONLY on reels 1+3 (NEVER on reel 2)
#   - boosters (mini/minor/major/grand) ONLY on reel 2
#   - reel 2 pos 17-21 = high7/blank/grand/blank/high7 (NEAR-MISS design)
#
Reel,Position,Symbol,mode_1 weight,mode_2 weight,mode_5 weight,mode_7 weight
1,0,blank,10,6,5,19
1,1,wild,1,1,1,1
1,2,blank,4,5,4,5
1,3,high7,1,1,1,1
1,4,blank,4,5,5,5
1,5,7bar,1,1,1,1
1,6,blank,4,5,5,5
1,7,3bar,1,1,2,14
1,8,blank,4,5,5,5
1,9,2bar,3,1,2,19
1,10,blank,4,5,5,5
1,11,1bar,9,13,19,16
1,12,blank,4,5,5,5
1,13,wild,1,1,1,1
1,14,blank,4,5,5,5
1,15,high7,1,1,1,1
1,16,blank,4,5,5,5
1,17,7bar,1,1,1,1
1,18,blank,4,5,5,5
1,19,3bar,1,1,1,14
1,20,blank,4,5,5,5
1,21,2bar,2,1,3,13
1,22,blank,4,5,5,5
1,23,1bar,10,13,20,19
1,24,blank,4,5,5,5
1,25,wild,1,1,1,1
1,26,blank,4,5,5,5
1,27,high7,1,1,1,1
1,28,blank,4,5,5,5
1,29,7bar,1,1,1,1
1,30,blank,4,5,5,5
1,31,3bar,1,1,1,14
1,32,blank,4,5,5,5
1,33,2bar,2,1,3,13
1,34,blank,4,5,5,5
1,35,1bar,10,13,20,19
2,0,blank,7,6,4,1
2,1,high7,22,25,26,30
2,2,blank,6,6,4,7
2,3,mini,6,11,4,1
2,4,blank,6,6,4,7
2,5,7bar,19,17,15,17
2,6,blank,6,6,4,7
2,7,minor,6,10,7,5
2,8,blank,6,6,4,7
2,9,2bar,31,35,31,37
2,10,blank,6,6,4,7
2,11,major,7,11,12,7
2,12,blank,6,6,4,7
2,13,3bar,7,12,4,2
2,14,blank,6,6,5,7
2,15,1bar,27,21,23,23
2,16,blank,6,6,5,7
2,17,high7,23,25,25,30
2,18,blank,6,6,5,7
2,19,grand,1,8,13,1
2,20,blank,6,6,5,7
2,21,high7,23,25,25,30
2,22,blank,6,6,5,7
2,23,major,7,11,12,8
2,24,blank,6,6,5,7
2,25,minor,6,10,8,4
2,26,blank,6,6,5,7
2,27,3bar,6,10,3,2
2,28,blank,6,6,5,7
2,29,1bar,27,21,22,22
2,30,blank,6,6,5,7
2,31,7bar,20,17,15,17
2,32,blank,6,6,5,7
2,33,2bar,31,36,32,36
2,34,blank,6,6,5,7
2,35,mini,6,10,3,1
3,0,blank,1,1,1,1
3,1,high7,1,1,1,5
3,2,blank,8,7,6,12
3,3,wild,1,1,1,1
3,4,blank,8,7,6,12
3,5,7bar,1,1,1,1
3,6,blank,8,7,6,12
3,7,3bar,1,1,2,1
3,8,blank,8,7,6,12
3,9,2bar,1,9,3,1
3,10,blank,8,7,6,12
3,11,1bar,1,1,2,1
3,12,blank,8,7,6,12
3,13,high7,1,1,1,4
3,14,blank,8,7,6,12
3,15,wild,1,1,1,1
3,16,blank,8,7,6,12
3,17,7bar,1,1,1,1
3,18,blank,8,7,7,12
3,19,3bar,1,1,1,1
3,20,blank,8,7,7,12
3,21,2bar,1,9,4,1
3,22,blank,8,7,7,12
3,23,1bar,1,1,3,1
3,24,blank,8,7,7,12
3,25,high7,1,1,1,4
3,26,blank,8,7,7,12
3,27,wild,1,1,1,1
3,28,blank,8,7,7,12
3,29,7bar,1,1,1,1
3,30,blank,8,7,7,12
3,31,3bar,1,1,1,1
3,32,blank,8,7,7,12
3,33,2bar,1,9,4,1
3,34,blank,8,7,7,12
3,35,1bar,1,1,3,1

# ==================================================
# Section C: Feature Play weights
# ==================================================
# N/A — M37 has no feature engine. All RTP from base game.
# Re-roll rule: (wild, grand, wild) on payline is server-side re-rolled.
# Jackpot path: (high7|wild, grand, high7|wild) = pay_id 1 x grand = 1000x.

